PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,DailyDate
9x6g0,8/p4kpp/8/8/N1P2n2/1P3P2/1P1r2PP/2R3K1 w - - 1 29,c4c5 f4e2 g1f1 e2c1,1369,85,89,150,advantage endgame fork master short,https://lichess.org/nZCBEiYq#57,,
9xSgm,2k1r1r1/Rpp1n2p/5qb1/3pN3/3P2P1/1P5P/1P3P2/3QR1K1 b - - 0 22,e7c6 a7a8 c6b8 a8b8 c8b8 e5d7,1627,77,93,2619,attraction crushing long middlegame queensideAttack sacrifice,https://lichess.org/vA6PCYoT/black#44,,
9xZwX,3r2k1/p2r1ppp/2p1p3/Qp1qP3/8/P1P4P/1P3PP1/3RR1K1 b - - 0 26,d5c5 a5d8 d7d8 d1d8,1269,76,85,768,crushing endgame kingsideAttack master short xRayAttack,https://lichess.org/re1t9gG0/black#52,,
9yV51,r1b1kb1r/2q1pppp/p1p5/3pP3/3N2n1/8/PPP2PPP/RNBQ1RK1 w kq - 0 10,e5e6 c7h2,779,98,95,724,kingsideAttack mate mateIn1 oneMove opening,https://lichess.org/IhgSzPgw#19,Sicilian_Defense Sicilian_Defense_Old_Sicilian,
9zmva,1k1r3r/p1p1npp1/Qpq1p2p/2NpP2P/P2P2P1/2P5/1P3P2/R3K2R w KQ - 2 19,b2b4 b6c5 a6c6 e7c6,1225,82,91,811,crushing middlegame short,https://lichess.org/hw5QWGOj#37,,
A0dKk,r3k2r/5p1p/p3p1pb/1pn1P3/5P2/2qP1Q2/P1P3PP/R1B2R1K b kq - 1 19,c3a1 f3a8 e8d7 a8h8,957,79,89,852,crushing hangingPiece middlegame short skewer,https://lichess.org/6GQ04Tz9/black#38,Sicilian_Defense Sicilian_Defense_Closed,
A15il,4R3/pp3pp1/2r1k3/4p3/8/1P2PQ2/KPq4p/8 b - - 11 43,e6d7 f3f7 d7d6 f7e7 d6d5 e7e5,2238,78,94,6849,endgame exposedKing long mate mateIn3,https://lichess.org/7jsTuLxT/black#86,,
A2QaZ,rn1q1bnr/pp3k2/4b1p1/3p3p/3QpP2/2N1P3/PPP1B1PP/R1B2RK1 w - - 1 11,d4h8 f8g7 h8h7 g8f6 f4f5 f6h7,1254,79,94,25392,advantage long opening trappedPiece,https://lichess.org/DD7hCdGI#21,Bird_Opening Bird_Opening_Froms_Gambit,
A2jHj,r2q2kr/1bp1b2p/p3PpB1/1p1p3Q/8/8/PPP2PPP/RN2R1K1 b - - 0 17,h7g6 h5g6 g8f8 g6f7,954,78,98,2651,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/5UGwLc8l/black#34,St_George_Defense St_George_Defense_Other_variations,
A3Af0,r1bq1bkr/ppp3pp/8/3pQ3/4n3/1P6/P1PP1PPP/RNB2RK1 b - - 0 9,f8d6 e5d5 g8f8 d5e4,1135,81,94,7057,advantage fork opening short,https://lichess.org/DYcukWak/black#18,Italian_Game Italian_Game_Two_Knights_Defense,
A3PrQ,3B4/1p3r2/8/K1kp4/2b1p3/4P3/3R1P2/8 b - - 3 44,f7f8 d8e7 c5c6 e7f8,1316,78,100,170,endgame,https://lichess.org/dvEoAJEJ/black#88,,
A3UBG,4rrk1/pbp2pp1/1p5p/2q5/2B2Bn1/1Q1P1PP1/PP5P/2R2R1K b - - 4 23,e8e2 c4f7 f8f7 c1c5,1100,77,75,409,advantage discoveredAttack middlegame short,https://lichess.org/OMrQBJcs/black#46,,
A3XrU,r1bqk1nr/p4B1p/6p1/8/8/4B3/PbP2PPP/R2QK2R b KQkq - 0 12,e8f7 d1d8 b2c3 e3d2,1250,75,100,1078,advantage hangingPiece middlegame short,https://lichess.org/eEIEeNh5/black#24,Sicilian_Defense Sicilian_Defense_Accelerated_Dragon,
